tokenAddress,CollectionName,Symbol,TokenStandard,TotalSupply,AveragePriceRecent,FloorPriceRecent,RecentTradesCollected,ContractAddress,Chain
0xaf615b61448691fc3e4c61ae4f015d6e77b6cca8,Lives of Asuna,LOA,ERC721,,1.3632465e+17,1.47e+16,10.0,,
0xaadba140ae5e4c8a9ef0cc86ea3124b446e3e46a,MutantCats,MUTCATS,ERC721,,4201950000000000.0,2211000000000000.0,10.0,,
0x6dc6001535e15b9def7b0f6a20a2111dfa9454e2,MetaHero,HERO,ERC721,,2.73583e+16,1.2848e+16,10.0,,
0xa7206d878c5c3871826dfdb42191c49b1d11f466,,,ERC1155,,5303050000000000.0,4020000000000000.0,10.0,,
0x4b61413d4392c806e6d0ff5ee91e6073c21d6430,MURI,MURI,ERC721,,1.092365e+16,3718500000000000.0,10.0,,
0x12d2d1bed91c24f878f37e66bd829ce7197e4d14,Galactic Apes,GALAPE,ERC721,,5780000000010000.0,100000.0,10.0,,
0x4a8c9d751eeabc5521a68fb080dd7e72e46462af,Arcade Land,ARCLAND,ERC721,,1.080775e+16,1900000000000000.0,10.0,,
0x7d8820fa92eb1584636f4f5b8515b5476b75171a,Murakami.Flowers,M.F,ERC721,,1.9616007e+17,1.67835e+17,10.0,,
0xd4e4078ca3495de5b1d4db434bebc5a986197782,Autoglyphs,☵,ERC721,,9.044000002651939e+19,265193992512.0,10.0,,
0xf54cc94f1f2f5de012b6aa51f1e7ebdc43ef5afc,Nanopass,NP,ERC721,,4910250000000000.0,2800000000000000.0,10.0,,
0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,Creepz by OVERLORD,CBC,ERC721,,9.9780107e+17,9.09e+17,10.0,,
0x0b4b2ba334f476c8f41bfe52a428d6891755554d,JRNY NFT Club,JNC,ERC721,,1.668341e+17,1.14e+17,10.0,,
0xeb834ae72b30866af20a6ce5440fa598bfad3a42,Wolf Game,WGAME,ERC721,,4.825e+18,7.5e+17,10.0,,
0xd1258db6ac08eb0e625b75b371c023da478e94a9,DigiDaigaku,DIDA,ERC721,,1.122e+18,9.5e+17,10.0,,
0x497a9a79e82e6fc0ff10a16f6f75e6fcd5ae65a8,Ragnarok,RONIN,ERC1155,,1.2243763e+17,1.01505e+17,10.0,,
0x960b7a6bcd451c9968473f7bbfd9be826efd549a,OnChainMonkey,OCMONK,ERC721,,5.581505e+17,3.88e+17,10.0,,
0x226bf5293692610692e2c996c9875c914d2a7f73,,,ERC1155,,1.72261499998e+16,2000000000000000.0,10.0,,
0x19b86299c21505cdf59ce63740b240a9c822b5e4,DEGEN TOONZ,TOONZ,ERC721,,3.027e+16,4900000000000000.0,10.0,,
0x6be69b2a9b153737887cfcdca7781ed1511c7e36,Killer GF,KGF,ERC721,,3.184915e+16,2.9182e+16,10.0,,
0x86357a19e5537a8fba9a004e555713bc943a66c0,Neo Tokyo: Identities,NEOTI,ERC721,,3.48775e+18,7.5e+17,10.0,,
0x062e691c2054de82f28008a8ccc6d7a1c8ce060d,PudgyPresent,PP,ERC721,,3.752425e+17,3.38685e+17,10.0,,
0x99a9b7c1116f9ceeb1652de04d5969cce509b069,Art Blocks,BLOCKS,ERC721,,2.4874099e+17,7776000000000000.0,10.0,,
0x11450058d796b02eb53e65374be59cff65d3fe7f,SHIBOSHIS,SBSH,ERC721,,7.2899029e+16,6.26115e+16,10.0,,
0xbad6186e92002e312078b5a1dafd5ddf63d3f731,Anonymice,MICE,ERC721,,8.843284e+16,7e+16,10.0,,
0x701a038af4bd0fc9b69a829ddcb2f61185a49568,Kiwami,KIWAMI,ERC721,,1.929043e+17,2110500000000000.0,10.0,,
0x9830b32f7210f0857a859c2a86387e4d1bb760b8,Kaito Genesis,KAITO,ERC721,,1.7987484899999002e+18,1.7487e+18,10.0,,
